record - leader,001,008,035,040,System Control Number,245,Title Information,260,"$a - Place of publication, distribution",$b - Name of publisher,"$c - Date of publication, distribution",310,Current Publication Frequency 1,336,337,338,653,650,710,Corporate Name / Entity of the owner,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00714nas  2200217u  4500,9921133340101480,000128q19791980be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002113334LBS01-Aleph^$ $ $a8215180^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921133340101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aZottegemse ACWeetjes.,Zottegemse Acweetjes,^$ $ $aZottegem$ $ $bACW$ $ $c[1979]-[1980],Zottegem,ACW,[1979]-[1980],^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aACW. Zottegem$ $ $4oth,Acw. Zottegem,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00698nas  2200229u  4500,9921134020101480,000128q19771989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002113402LBS01-Aleph^$ $ $a8215461^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921134020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aHallo.,Hallo,^$ $ $aBrugge$ $ $bKSA. Rooyghem$ $ $c1977-[1989],Bruges,KSA. Rooyghem,[1977]-[1989],^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Rooyghem$ $ $4oth,Ksa. Rooyghem,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,^$ $ $afrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00661nas  2200217u  4500,9921141040101480,000131q19771986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002114104LBS01-Aleph^$ $ $a8218122^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921141040101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aTons.,Tons,^$ $ $aErembodegem$ $ $bVKSJ$ $ $c1977-[1986],Erembodegem,VKSJ,[1977]-[1986],^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aVKSJ. Erembodegem$ $ $4oth,Vksj. Erembodegem,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00654nas  2200217u  4500,9921141370101480,000131q19781979be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002114137LBS01-Aleph^$ $ $a8218260^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921141370101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aKSAerke.,Ksaerke,^$ $ $aDeerlijk$ $ $bKSA$ $ $c1978-[1979],Deerlijk,KSA,[1978]-[1979],^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Deerlijk$ $ $4oth,Ksa. Deerlijk,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00659nas  2200217u  4500,9921141560101480,000131q19779999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002114156LBS01-Aleph^$ $ $a8218351^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921141560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aTijl 't KSAerke.,Tijl 't Ksaerke,^$ $ $aDeerlijk$ $ $bKSA$ $ $c[1977]-?,Deerlijk,KSA,[1977]-?,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Deerlijk$ $ $4oth,Ksa. Deerlijk,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00520nas  2200181u  4500,9921145130101480,000201q19781979be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002114513LBS01-Aleph^$ $ $a8219714^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921145130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$4$aDie chronijcke.,Die Chronijcke,^$ $ $aDeinze$ $ $bKSA-VKSJ$ $ $c[1978]-[1979],Deinze,KSA-VKSJ,[1978]-[1979],^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aKSA-VKSJ. Deinze$ $ $4oth,Ksa-vksj. Deinze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00670nas  2200217u  4500,9921151000101480,000203q19771979be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002115100LBS01-Aleph^$ $ $a8222990^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921151000101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$3$a't Kamperke.,'t Kamperke,^$ $ $aLichtaart$ $ $bKSA-VKSJ$ $ $c1977-[1979],Lichtaart,KSA-VKSJ,[1977]-[1979],^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA-VKSJ. Lichtaart$ $ $4oth,Ksa-vksj. Lichtaart,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00657nas  2200217u  4500,9921151020101480,000203q19761980be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002115102LBS01-Aleph^$ $ $a8223009^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921151020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"BeLVLBS, Language of cataloging varies, RDA based",^$0$0$aKiekeboe.,Kiekeboe,^$ $ $aGanshoren$ $ $bKSJ$ $ $c1976-[1980],Ganshoren,KSJ,[1976]-[1980],^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSJ. Ganshoren$ $ $4oth,Ksj. Ganshoren,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
